MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1674.72,1.987,18.066,7.368,25.67,53.188,906.067,56.126,115.0
1676.49,3.174,18.582,7.399,26.005,53.022,906.304,54.94,117.0
1677.03,3.126,18.497,7.497,26.005,52.84,906.186,54.988,102.0
1677.35,3.128,18.536,7.404,26.005,52.981,906.305,54.985,98.0
1677.46,3.126,18.591,7.412,26.005,53.07,906.186,54.988,107.0
1677.48,3.139,18.587,7.456,26.005,52.994,906.304,54.975,106.0
1677.79,3.063,18.507,7.365,24.919,53.175,906.542,55.051,92.0
1677.84,3.135,18.475,7.41,24.919,53.074,906.305,54.979,99.0
1677.97,3.155,18.392,7.3,24.919,52.907,906.186,54.958,109.0
1678.02,3.154,18.271,7.349,24.919,52.969,906.542,54.96,101.0
1678.26,3.271,18.385,7.446,24.919,53.1,906.542,54.843,103.0
1678.31,3.181,18.348,7.436,24.919,53.057,906.542,54.932,108.0
1678.36,3.084,18.354,7.585,24.919,52.867,906.542,55.029,107.0
1678.44,3.169,18.36,7.558,24.919,53.002,905.829,54.945,113.0
1678.72,3.175,18.45,7.25,25.58,53.135,906.186,54.939,119.0
1678.76,3.169,18.473,7.336,25.58,53.161,906.186,54.945,118.0
1678.83,3.166,18.499,7.366,25.58,52.979,906.542,54.948,119.0
1679.0,3.21,18.562,7.42,25.58,52.979,906.542,54.904,116.0
1679.05,3.311,18.621,7.667,25.58,53.304,906.186,54.802,115.0
1679.24,3.325,18.664,7.652,25.58,52.948,905.829,54.788,97.0
1679.36,3.465,18.642,7.73,30.852,52.946,906.542,54.649,100.0
1679.54,3.423,18.574,7.41,30.852,53.127,906.542,54.691,103.0
1679.72,3.441,18.424,7.517,30.852,53.0,906.305,54.673,117.0
1679.77,2.915,18.433,7.522,30.852,52.852,906.423,55.199,118.0
1679.95,3.301,18.35,7.482,30.852,53.022,906.542,54.813,130.0
1680.02,3.215,18.302,7.44,30.852,53.108,906.186,54.899,126.0
1680.06,3.291,18.202,7.545,30.852,53.161,906.423,54.823,127.0
1680.25,3.147,17.956,7.276,31.412,52.99,906.186,54.967,108.0
1680.29,3.162,17.948,7.358,31.412,52.967,905.948,54.952,112.0
1680.35,3.168,17.972,7.38,31.412,53.095,906.542,54.946,109.0
1680.47,3.133,18.036,7.302,31.412,53.152,906.423,54.981,108.0
1680.5,3.154,18.061,7.317,31.412,53.146,906.305,54.96,105.0
1680.56,3.177,18.18,7.61,31.412,53.1,906.186,54.936,100.0
1680.59,3.246,18.183,7.574,31.412,53.085,905.829,54.868,104.0
1680.82,3.199,18.344,7.621,31.412,52.986,906.186,54.915,109.0
1680.84,3.18,18.358,7.644,31.412,52.821,906.423,54.934,105.0
1681.0,3.154,18.616,7.448,31.412,53.062,906.304,54.96,106.0
1681.03,3.145,18.701,7.707,31.412,53.148,905.948,54.969,107.0
1681.1,3.286,18.746,7.721,32.217,53.043,906.067,54.828,107.0
1681.21,3.249,18.801,7.39,32.217,53.104,905.948,54.865,106.0
1681.27,3.311,18.804,7.593,32.217,52.776,906.423,54.802,108.0
1681.3,3.276,18.819,7.739,32.217,52.941,905.948,54.838,111.0
1681.46,3.448,18.983,7.478,32.217,53.095,905.948,54.666,106.0
1681.48,3.457,18.982,7.361,32.217,53.099,905.948,54.656,108.0
1681.54,3.403,18.992,7.784,32.217,52.984,906.305,54.711,108.0
1681.57,3.372,18.994,7.788,32.217,53.024,906.067,54.742,106.0
1681.73,3.464,19.061,7.678,32.217,53.19,906.305,54.65,108.0
1681.75,3.451,19.04,7.619,32.217,53.205,906.186,54.663,108.0
1681.81,3.536,18.92,7.329,32.217,53.178,906.304,54.578,106.0
1681.84,3.416,18.825,7.33,32.217,53.032,906.542,54.698,110.0
1681.99,3.457,18.754,7.409,32.217,53.087,905.948,54.657,108.0
1682.02,3.546,18.866,7.462,32.217,53.121,906.067,54.568,100.0
1682.09,3.602,19.056,7.761,31.757,53.152,906.186,54.512,101.0
1682.11,3.626,19.102,7.812,31.757,53.224,906.304,54.488,106.0
1682.29,3.391,18.647,7.471,31.757,53.23,905.948,54.723,108.0
1682.35,3.368,18.419,7.58,31.757,52.984,906.542,54.746,112.0
1682.45,3.34,18.402,7.356,31.757,53.226,906.304,54.774,110.0
1682.47,3.322,18.46,7.389,31.757,53.074,906.423,54.792,108.0
1682.56,3.288,18.63,7.482,31.757,52.933,905.948,54.826,112.0
1682.62,3.208,18.681,7.444,31.757,52.986,906.304,54.906,116.0
1682.72,3.315,18.723,7.308,31.757,53.228,906.067,54.799,114.0
1682.74,3.317,18.731,7.339,31.757,53.241,906.304,54.797,109.0
1682.8,3.367,18.719,7.48,31.757,53.042,906.305,54.747,104.0
1682.83,3.316,18.687,7.545,31.757,53.007,906.067,54.798,105.0
1682.98,3.288,18.494,7.339,31.757,52.872,906.304,54.826,99.0
1683.01,3.256,18.437,7.385,31.757,53.131,906.186,54.858,99.0
1683.1,3.226,18.392,7.224,30.285,52.924,906.067,54.888,96.0
1683.19,3.265,18.33,7.186,30.285,53.218,906.186,54.848,92.0
1683.25,3.335,18.441,7.548,30.285,53.089,906.542,54.779,93.0
1683.29,3.315,18.53,7.811,30.285,53.144,906.542,54.799,92.0
1683.34,3.337,18.606,7.582,30.285,53.104,905.948,54.777,92.0
1683.37,3.289,18.609,7.559,30.285,53.197,905.948,54.825,90.0
1683.44,3.24,18.594,7.607,30.285,52.968,905.829,54.874,92.0
1683.46,3.236,18.571,7.538,30.285,53.024,905.591,54.878,93.0
1683.53,3.278,18.609,7.296,30.285,52.928,905.948,54.836,99.0
1683.55,3.265,18.664,7.5,30.285,52.901,905.948,54.848,100.0
1683.61,3.22,18.755,7.772,30.285,52.844,906.542,54.894,97.0
1683.7,3.264,18.736,7.752,30.285,52.891,906.542,54.85,98.0
1683.73,3.211,18.728,7.586,30.285,53.023,906.542,54.903,100.0
1683.79,3.264,18.734,7.567,30.285,52.992,906.423,54.85,96.0
